Date,Open,High,Low,Close,Adj Close,Volume
4/12/2021,61529.92188,62572.17578,52829.53516,56216.18359,56216.18359,1.63608E+11
4/19/2021,56191.58594,57520.05469,47159.48438,49004.25391,49004.25391,4.4472E+11
4/26/2021,49077.79297,58448.33984,48852.79688,56631.07813,56631.07813,3.35232E+11
5/3/2021,56620.27344,59464.61328,52969.05469,58232.31641,58232.31641,4.58766E+11
5/10/2021,58250.87109,59519.35547,43963.35156,46456.05859,46456.05859,4.83968E+11
5/17/2021,46415.89844,46623.55859,30681.49609,34770.58203,34770.58203,5.63629E+11
5/24/2021,34700.36328,40782.07813,33520.73828,35678.12891,35678.12891,3.50206E+11
5/31/2021,35658.59375,39478.95313,34241.94531,35862.37891,35862.37891,2.48885E+11
6/7/2021,35835.26563,39322.78125,31114.44336,39097.85938,39097.85938,2.98428E+11
6/14/2021,39016.96875,41295.26953,33432.07422,35698.29688,35698.29688,2.6995E+11
6/21/2021,35641.14453,35721.64063,28893.62109,34649.64453,34649.64453,3.05542E+11
6/28/2021,34679.12109,36542.10938,32770.67969,35287.78125,35287.78125,2.31729E+11
7/5/2021,35284.34375,35284.34375,32133.18359,34240.1875,34240.1875,1.78446E+11
7/12/2021,34254.01563,34592.15625,31100.67383,31796.81055,31796.81055,1.47502E+11
7/19/2021,31800.01172,35364.92578,29360.95508,35350.1875,35350.1875,1.56415E+11
7/26/2021,35384.03125,42541.67969,35287.3125,39974.89453,39974.89453,2.37553E+11
8/2/2021,39907.26172,45282.35156,37458.00391,43798.11719,43798.11719,2.26903E+11
8/9/2021,43791.92578,48098.68359,42848.6875,47047.00391,47047.00391,2.34268E+11
8/16/2021,47019.96094,49717.01953,43998.31641,49321.65234,49321.65234,2.3629E+11
8/23/2021,49291.67578,50482.07813,46394.28125,48829.83203,48829.83203,2.23948E+11
8/30/2021,48834.85156,51868.67969,46562.4375,51753.41016,51753.41016,2.56225E+11
9/6/2021,51769.00391,52853.76563,43285.20703,46063.26953,46063.26953,2.93311E+11
9/13/2021,46057.21484,48791.78125,43591.32031,47260.21875,47260.21875,2.26142E+11
9/20/2021,47261.40625,47328.19922,39787.60938,43208.53906,43208.53906,2.701E+11
9/27/2021,43234.18359,49130.69141,40829.66797,48199.95313,48199.95313,2.23042E+11
10/4/2021,48208.90625,56401.30469,47045.00391,54771.57813,54771.57813,2.6192E+11
10/11/2021,54734.125,62757.12891,54370.97266,61553.61719,61553.61719,2.77085E+11
10/18/2021,61548.80469,66930.39063,59643.34375,60930.83594,60930.83594,2.57857E+11
10/25/2021,60893.92578,63729.32422,58206.91797,61318.95703,61318.95703,2.56114E+11
11/1/2021,61320.44922,64242.79297,59695.18359,63326.98828,63326.98828,2.27065E+11
11/8/2021,63344.06641,68789.625,62333.91406,65466.83984,65466.83984,2.59776E+11
11/15/2021,65521.28906,66281.57031,55705.17969,58730.47656,58730.47656,2.5342E+11
11/22/2021,58706.84766,59367.96875,53569.76563,57248.45703,57248.45703,2.4393E+11
11/29/2021,57291.90625,59113.40234,42874.61719,49368.84766,49368.84766,2.76691E+11
12/6/2021,49413.48047,51934.78125,46942.34766,50098.33594,50098.33594,2.08148E+11
12/13/2021,50114.74219,50205,45598.44141,46707.01563,46707.01563,2.1477E+11
12/20/2021,46707.0625,51814.02734,45579.80859,50809.51563,50809.51563,1.75052E+11
12/27/2021,50802.60938,51956.32813,45819.95313,47345.21875,47345.21875,2.03999E+11
1/3/2022,47343.54297,47510.72656,40672.27734,41911.60156,41911.60156,2.76183E+11
1/10/2022,41910.23047,44278.42188,39796.57031,43113.87891,43113.87891,1.99474E+11
1/17/2022,43118.12109,43413.02344,34349.25,36276.80469,36276.80469,1.96326E+11
1/24/2022,36275.73438,38825.41016,33184.05859,37917.60156,37917.60156,1.78727E+11
1/31/2022,37920.28125,42500.78516,36375.53906,42412.43359,42412.43359,1.43977E+11
2/7/2022,42406.78125,45661.17188,41748.15625,42197.51563,42197.51563,1.76958E+11
2/14/2022,42157.39844,44667.21875,38112.8125,38431.37891,38431.37891,1.44976E+11
2/21/2022,38423.21094,40005.34766,34459.21875,37709.78516,37709.78516,1.9047E+11
2/28/2022,37706,45077.57813,37518.21484,38419.98438,38419.98438,1.87557E+11
3/7/2022,38429.30469,42465.67188,37260.20313,37849.66406,37849.66406,1.75967E+11
3/14/2022,37846.31641,42316.55469,37680.73438,41247.82422,41247.82422,1.84097E+11
3/21/2022,41246.13281,46827.54688,40668.04297,46820.49219,46820.49219,1.88592E+11
3/28/2022,46821.85156,48086.83594,44403.14063,46453.56641,46453.56641,2.23334E+11
4/4/2022,46445.27344,47106.14063,42021.20703,42207.67188,42207.67188,1.88557E+11
4/11/2022,42201.03906,42424.58984,39373.05859,40424.48438,40424.48438,1.55565E+11
4/17/2022,40413.75781,40492.52734,40200.23438,40432.42188,40432.42188,16812488704
